sentence_id,sentence
233,"`Yes, it all comes back to me now,' said Frodo: 'the tremendous roaring."
234,"I thought I was drowning, with my friends and enemies and all."
235,But now we are safe!'
236,"Gandalf looked quickly at Frodo, but he had shut his eyes."
237,"'Yes, you are all safe for the present."
238,"Soon there will be feasting and merrymaking to celebrate the victory at the Ford of Bruinen, and you will all be there in places of honour.'"
239,'Splendid!'
240,said Frodo.
241,"`It is wonderful that Elrond, and Glorfindel and such great lords, not to mention Strider, should take so much trouble and show me so much kindness.'"
242,"`Well, there are many reasons why they should,' said Gandalf, smiling."
243,`I am one good reason.
244,The Ring is another: you are the Ring-bearer.
245,"And you are the heir of Bilbo, the Ring-finder.'"
246,`Dear Bilbo!'
247,said Frodo sleepily.
248,`I wonder where he is.
249,I wish he was here and could hear all about it.
250,"It would have made him laugh, The cow jumped over the Moon!"
251,And the poor old troll!'
252,With that he fell fast asleep.
253,Frodo was now safe in the Last Homely House east of the Sea.
254,"That house was, as Bilbo had long ago reported, `a perfect house, whether you like food or sleep, or story-telling or singing, or just sitting and thinking best, or a pleasant mixture of them all'."
255,"Merely to be there was a cure for weariness, fear, and sadness."
256,"As the evening drew on, Frodo woke up again, and he found that he no longer felt in need of rest or sleep, but had a mind for food and drink, and probably for singing and story-telling afterwards."
257,He got out of bed and discovered that his arm was already nearly as useful again as it ever had been.
258,He found laid ready clean garments of green cloth that fitted him excellently.
259,Looking in a mirror he was startled to see a much thinner reflection of himself than he remembered: it looked remarkably like the young nephew of Bilbo who used to go tramping with his uncle in the Shire; but the eyes looked out at him thoughtfully.
260,"`Yes, you have seen a thing or two since you last peeped out of a looking-glass,' he said to his reflection."
261,'But now for a merry meeting!'
262,He stretched out his arms and whistled a tune.
263,"At that moment there was a knock on the door, and Sam came in."
264,"He ran to Frodo and took his left hand, awkwardly and shyly."
265,He stroked it gently and then he blushed and turned hastily away.
266,"`Hullo, Sam!'"
267,said Frodo.
268,`It's warm!'
269,said Sam.
270,"`Meaning your hand, Mr. Frodo."
271,It has felt so cold through the long nights.
272,But glory and trumpets!'
273,"he cried, turning round again with shining eyes and dancing on the floor."
274,"'It's fine to see you up and yourself again, sir!"
275,"Gandalf asked me to come and see if you were ready to come down, and I thought he was joking.'"
276,"'I am ready,' said Frodo."
277,'Let's go and look for the rest of the party!'
278,"`I can take you to them, sir,' said Sam."
279,"`It's a big house this, and very peculiar."
280,"Always a bit more to discover, and no knowing what you'll find round a corner."
281,"And Elves, sir!"
282,"Elves here, and Elves there!"
283,"Some like kings, terrible and splendid; and some as merry as children."
284,And the music and the singing-not that I have had the time or the heart for much listening since we got here.
285,But I'm getting to know some of the ways of the place.'
286,"'I know what you have been doing, Sam,' said Frodo, taking his arm."
287,"'But you shall be merry tonight, and listen to your heart's content."
288,"Come on, guide me round the corners!'"
289,Sam led him along several passages and down many steps and out into a high garden above the steep bank of the river.
290,He found his friends sitting in a porch on the side of the house looking east.
291,"Shadows had fallen in the valley below, but there was still a light on the faces of the mountains far above."
292,The air was warm.
293,"The sound of running and falling water was loud, and the evening was filled with a faint scent of trees and flowers, as if summer still lingered in Elrond's gardens."
294,`Hurray!'
295,"cried Pippin, springing up."
296,`Here is our noble cousin!
297,"Make way for Frodo, Lord of the Ring!'"
298,'Hush!'
299,said Gandalf from the shadows at the back of the porch.
300,`Evil things do not come into this valley; but all the same we should not name them.
301,"The Lord of the Ring is not Frodo, but the master of the Dark Tower of Mordor, whose power is again stretching out over the world!"
302,We are sitting in a fortress.
303,Outside it is getting dark.'
304,"`Gandalf has been saying many cheerful things like that,' said Pippin."
305,`He thinks I need keeping in order.
306,"But it seems impossible, somehow, to feel gloomy or depressed in this place."
307,"I feel I could sing, if I knew the right song for the occasion.'"
308,"`I feel like singing myself,' laughed Frodo."
309,`Though at the moment I feel more like eating and drinking!'
310,"`That will soon be cured,' said Pippin."
311,`You have shown your usual cunning in getting up just in time for a meal.'
312,`More than meal!
313,A feast!'
314,said Merry.
315,"`As soon as Gandalf reported that you were recovered, the preparations began.'"
316,He had hardly finished speaking when they were summoned to the hall by the ringing of many bells.
317,"The hall of Elrond's house was filled with folk: Elves for the most part, though there were a few guests of other sorts."
318,"Elrond, as was his custom, sat in a great chair at the end of the long table upon the dais; and next to him on the one side sat Glorfindel, on the other side sat Gandalf."
319,"Frodo looked at them in wonder, for he had never before seen Elrond, of whom so many tales spoke; and as they sat upon his right hand and his left, Glorfindel, and even Gandalf, whom he thought he knew so well, were revealed as lords of dignity and power."
320,"Gandalf was shorter in stature than the other two; but his long white hair, his sweeping silver beard, and his broad shoulders, made him look like some wise king of ancient legend."
321,In his aged face under great snowy brows his dark eyes were set like coals that could leap suddenly into fire.
322,"Glorfindel was tall and straight; his hair was of shining gold, his face fair and young and fearless and full of joy; his eyes were bright and keen, and his voice like music; on his brow sat wisdom, and in his hand was strength."
323,"The face of Elrond was ageless, neither old nor young, though in it was written the memory of many things both glad and sorrowful."
324,"His hair was dark as the shadows of twilight, and upon it was set a circlet of silver; his eyes were grey as a clear evening, and in them was a light like the light of stars."
325,"Venerable he seemed as a king crowned with many winters, and yet hale as a tried warrior in the fulness of his strength."
326,He was the Lord of Rivendell and mighty among both Elves and Men.
327,"In the middle of the table, against the woven cloths upon the wall, there was a chair under a canopy, and there sat a lady fair to look upon, and so like was she in form of womanhood to Elrond that Frodo guessed that she was one of his close kindred."
328,Young she was and yet not so.
329,"The braids of her dark hair were touched by no frost, her white arms and clear face were flawless and smooth, and the light of stars was in her bright eyes, grey as a cloudless night; yet queenly she looked, and thought and knowledge were in her glance, as of one who has known many things that the years bring."
330,"Above her brow her head was covered with a cap of silver lace netted with small gems, glittering white; but her soft grey raiment had no ornament save a girdle of leaves wrought in silver."
331,"So it was that Frodo saw her whom few mortals had yet seen; Arwen, daughter of Elrond, in whom it was said that the likeness of Lúthien had come on earth again; and she was called Undómiel, for she was the Evenstar of her people."
332,"Long she had been in the land of her mother's kin, in Lórien beyond the mountains, and was but lately returned to Rivendell to her father's house."
333,"But her brothers, Elladan and Elrohir, were out upon errantry: for they rode often far afield with the Rangers of the North, forgetting never their mother's torment in the dens of the orcs."
334,Such loveliness in living thing Frodo had never seen before nor imagined in his mind; and he was both surprised and abashed to find that he had a seat at Elrond's table among all these folk so high and fair.
335,"Though he had a suitable chair, and was raised upon several cushions, he felt very small, and rather out of place; but that feeling quickly passed."
336,The feast was merry and the food all that his hunger could desire.
337,It was some time before he looked about him again or even turned to his neighbours.
338,He looked first for his friends.
339,"Sam had begged to be allowed to wait on his master, but had been told that for this time he was a guest of honour."
340,"Frodo could see him now, sitting with Pippin and Merry at the upper end of one of the side-tables close to the dais."
341,He could see no sign of Strider.
342,"Next to Frodo on his right sat a dwarf of important appearance, richly dressed."
343,"His beard, very long and forked, was white, nearly as white as the snow-white cloth of his garments."
344,"He wore a silver belt, and round his neck hung a chain of silver and diamonds."
345,Frodo stopped eating to look at him.
346,'Welcome and well met!'
347,"said the dwarf, turning towards him."
348,Then he actually rose from his seat and bowed.
349,"`Glóin at your service,' he said, and bowed still lower."
350,"'Frodo Baggins at your service and your family's,' said Frodo correctly, rising in surprise and scattering his cushions."
351,"'Am I right in guessing that you are _the_ Glóin, one of the twelve companions of the great Thorin Oakenshield?'"
352,"`Quite right,' answered the dwarf, gathering up the cushions and courteously assisting Frodo back into his seat."
353,"'And I do not ask, for I have already been told that you are the kinsman and adopted heir of our friend Bilbo the renowned."
354,Allow me to congratulate you on your recovery.'
355,"`Thank you very much,' said Frodo."
356,"'You have had some very strange adventures, I hear,' said Glóin."
357,'I wonder greatly what brings _four_ hobbits on so long a journey.
358,Nothing like it has happened since Bilbo came with us.
359,"But perhaps I should not inquire too closely, since Elrond and Gandalf do not seem disposed to talk of this?'"
360,"'I think we will not speak of it, at least not yet,' said Frodo politely."
361,He guessed that even in Elrond's house the matter of the Ring was not one for casual talk; and in any case he wished to forget his troubles for a time.
362,"'But I am equally curious,' he added, `to learn what brings so important a dwarf so far from the Lonely Mountain.'"
363,Glóin looked at him.
364,"'If you have not heard, I think we will not speak yet of that either."
365,"Master Elrond will summon us all ere long, I believe, and then we shall all hear many things."
366,But there is much else that may be told.'
367,"Throughout the rest of the meal they talked together, but Frodo listened more than he spoke; for the news of the Shire, apart from the Ring, seemed small and far-away and unimportant, while Glóin had much to tell of events in the northern regions of Wilderland."
368,"Frodo learned that Grimbeorn the Old, son of Beorn, was now the lord of many sturdy men, and to their land between the Mountains and Mirkwood neither orc nor wolf dared to go."
369,"'lndeed,' said Glóin, `if it were not for the Beornings, the passage from Dale to Rivendell would long ago have become impossible."
370,They are valiant men and keep open the High Pass and the Ford of Carrock.
371,"But their tolls are high,' he added with a shake of his head; `and like Beorn of old they are not over fond of dwarves."
372,"Still, they are trusty, and that is much in these days."
373,Nowhere are there any men so friendly to us as the Men of Dale.
374,"They are good folk, the Bardings."
375,"The grandson of Bard the Bowman rules them, Brand son of Bain son of Bard."
376,"He is a strong king, and his realm now reaches far south and east of Esgaroth.'"
377,'And what of your own people?'
378,asked Frodo.
379,"`There is much to tell, good and bad,' said Glóin; 'yet it is mostly good: we have so far been fortunate, though we do not escape the shadow of these times."
380,"If you really wish to hear of us, I will tell you tidings gladly."
381,But stop me when you are weary!
382,"Dwarves' tongues run on when speaking of their handiwork, they say.'"
383,And with that Glóin embarked on a long account of the doings of the Dwarf-kingdom.
384,"He was delighted to have found so polite a listener; for Frodo showed no sign of weariness and made no attempt to change the subject, though actually he soon got rather lost among the strange names of people and places that he had never heard of before."
385,"He was interested, however, to hear that Dáin was still King under the Mountain, and was now old (having passed his two hundred and fiftieth year), venerable, and fabulously rich."
386,"Of the ten companions who had survived the Battle of Five Armies seven were still with him: Dwalin, Glóin, Dori, Nori, Bifur, Bofur, and Bombur."
387,"Bombur was now so fat that he could not move himself from his couch to his chair at table, and it took six young dwarves to lift him."
388,'And what has become of Balin and Ori and Óin?'
389,asked Frodo.
390,A shadow passed over Glóin's face.
391,"`We do not know,' he answered."
392,'It is largely on account of Balin that I have come to ask the advice of those that dwell in Rivendell.
393,But tonight let us speak of merrier things!'
394,"Glóin began then to talk of the works of his people, telling Frodo about their great labours in Dale and under the Mountain."
395,"'We have done well,' he said."
396,"`But in metalwork we cannot rival our fathers, many of whose."
397,secrets are lost.
398,"We make good armour and keen swords, but we cannot again make mail or blade to match those that were made before the dragon came."
399,Only in mining and building have we surpassed the old days.
400,"You should see the waterways of Dale, Frodo, and the fountains, and the pools!"
401,You should see the stone-paved roads of many colours!
402,And the halls and cavernous streets under the earth with arches carved like trees; and the terraces and towers upon the Mountain's sides!
403,Then you would see that we have not been idle.'
404,"'I will come and see them, if ever I can,' said Frodo."
405,'How surprised Bilbo would have been to see all the changes in the Desolation of Smaug!'
406,Glóin looked at Frodo and smiled.
407,'You were very fond of Bilbo were you not?'
408,he asked.
409,"`Yes,' answered Frodo."
410,'I would rather see him than all the towers and palaces in the world.'
411,At length the feast came to an end.
412,"Elrond and Arwen rose and went down the hall, and the company followed them in due order."
413,"The doors were thrown open, and they went across a wide passage and through other doors, and came into a further hall."
414,"In it were no tables, but a bright fire was burning in a great hearth between the carven pillars upon either side."
415,Frodo found himself walking with Gandalf.
416,`This is the Hall of Fire' said the wizard.
417,`Here you will hear many songs and tales-if you can keep awake.
418,"But except on high days it usually stands empty and quiet, and people come here who wish for peace, and thought."
419,"There is always a fire here, all the year round, but there is little other light.'"
420,"As Elrond entered and went towards the seat prepared for him, elvish minstrels began to make sweet music."
421,"Slowly the hall filled, and Frodo looked with delight upon the many fair faces that were gathered together; the golden firelight played upon them and shimmered in their hair."
422,"Suddenly he noticed, not far from the further end of the fire, a small dark figure seated on a stool with his back propped against a pillar."
423,Beside him on the ground was a drinking-cup and some bread.
424,"Frodo wondered whether he was ill (if people were ever ill in Rivendell), and had been unable to come to the feast."
425,"His head seemed sunk in sleep on his breast, and a fold of his dark cloak was drawn over his face."
426,Elrond went forward and stood beside the silent figure.
427,'Awake little master.
428,"he said, with a smile."
429,"Then, turning to Frodo, he beckoned to him."
430,"'Now at last the hour has come that you have wished for, Frodo,' he said."
431,`Here is a friend that you have long missed.'
432,The dark figure raised its head and uncovered its face.
433,`Bilbo!'
434,"cried Frodo with sudden recognition, and he sprang forward."
435,"`Hullo, Frodo my lad!'"
436,said Bilbo.
437,`So you have got here at last.
438,I hoped you would manage it.
439,"Well, well!"
440,"So all this feasting is in your honour, I hear."
441,I hope you enjoyed yourself?'
442,'Why weren't you there?'
443,cried Frodo.
444,`And why haven't I been allowed to see you before?'
445,`Because you were asleep.
446,I have seen a good deal of you.
447,I have sat by your side with Sam each day.
448,But as for the feast` I don't go in for such things much now.
449,And I had something else to do.'
450,`What were you doing?'
451,"`Why, sitting and thinking."
452,"I do a lot of that nowadays, and this is the best place to do it in, as a rule."
453,"Wake up, indeed!'"
454,"he said, cocking an eye at Elrond."
455,There was a bright twinkle in it and no sign of sleepiness that Frodo could see.
456,`Wake up!
457,I was not asleep.
458,Master Elrond.
459,"If you want to know, you have all come out from your feast too soon, and you have disturbed me-in the middle of making up a song."
460,"I was stuck over a line or two, and was thinking about them; but now I don't suppose I shall ever get them right."
461,There will be such a deal of singing that the ideas will be driven clean out of my head.
462,I shall have to get my friend the Dúnadan to help me.
463,Where is he?'
464,Elrond laughed.
465,"`He shall be found,' he said."
466,"`Then you two shall go into a corner and finish your task, and we will hear it and judge it before we end our merrymaking.'"
467,"Messengers were sent to find Bilbo's friend, though none knew where he was, or why he had not been present at the feast."
468,"In the meanwhile Frodo and Bilbo sat side by side, and Sam came quickly and placed himself near them."
469,"They talked together in soft voices, oblivious of the mirth and music in the hall about them."
470,Bilbo had not much to say of himself.
471,"When he had left Hobbiton he had wandered off aimlessly, along the Road or in the country on either side; but somehow he had steered all the time towards Rivendell."
472,"`I got here without much adventure,' he said, `and after a rest I went on with the dwarves to Dale: my last journey."
473,I shan't travel again.
474,Old Balin had gone away.
475,"Then I came back here, and here I have been."
476,I have done this and that.
477,I have written some more of my book.
478,"And, of course, I make up a few songs."
479,"They sing them occasionally: just to please me, I think; for, of course, they aren't really good enough for Rivendell."
480,And I listen and I think.
481,Time doesn't seem to pass here: it just is.
482,A remarkable place altogether.
483,"`I hear all kinds of news, from over the Mountains, and out of the South, but hardly anything from the Shire."
484,"I heard about the Ring, of course."
485,Gandalf has been here often.
486,"Not that he has told me a great deal, he has become closer than ever these last few years."
487,The Dúnadan has told me more.
488,Fancy that ring of mine causing such a disturbance!
489,It is a pity that Gandalf did not find out more sooner.
490,I could have brought the thing here myself long ago without so much trouble.
491,"I have thought several times of going back to Hobbiton for it; but I am getting old, and they would not let me: Gandalf and Elrond, I mean."
492,"They seemed to think that the Enemy was looking high and low for me, and would make mincemeat of me, if he caught me tottering about in the Wild."
493,"'And Gandalf said: ""The Ring has passed on, Bilbo."
494,"It would do no good to you or to others, if you tried to meddle with it again."""
495,"Odd sort of remark, just like Gandalf."
496,"But he said he was looking after you, so I let things be."
497,I am frightfully glad to see you safe and sound.'
498,He paused and looked at Frodo doubtfully.
499,`Have you got it here?'
500,he asked in a whisper.
501,"`I can't help feeling curious, you know, after all I've heard."
502,I should very much like just to peep at it again.'
503,"`Yes, I've got it,' answered Frodo, feeling a strange reluctance."
504,`It looks just the same as ever it did.'
