word1,word2,MI_score
upon,gondor,1.2927968172048558
cried,come,1.2905097285280238
go,way,1.2899564753342379
must,come,1.2887767613035663
still,little,1.2859367222429121
say,go,1.2841352366055165
paths,said,1.2832740430863492
denethor,gandalf,1.2823875743192499
come,answered,1.2770474687214612
fell,upon,1.2763876575011075
said,mean,1.2763876575011075
many,many,1.2761341785331357
cried,well,1.2756746873650808
shall,come,1.2746001483027207
go,back,1.2737158343270245
ran,sam,1.267855182905782
sam,deep,1.267855182905782
good,said,1.2617408815367064
side,came,1.261694659829347
said,legolas,1.2586614886047336
gimli,come,1.2581884414701445
black,upon,1.2579887466756006
faramir,upon,1.2550771512556977
said,theoden,1.2550771512556977
well,may,1.2533068743366282
said,bear,1.2523421835344575
sam,drew,1.2523421835344575
king,upon,1.2501866549086245
great,stone,1.2490670515015978
father,said,1.2457993376676875
said,quite,1.2457993376676857
said,youre,1.2457993376676857
thought,well,1.2422516858276307
said,farewell,1.2396471106860911
last,came,1.2361595677222077
still,hope,1.2359211845357976
think,gandalf,1.2342932861182057
frodo,well,1.2336245084749287
well,frodo,1.2336245084749287
thought,one,1.2326336832660338
since,came,1.232548314169831
road,went,1.23128056800663
indeed,said,1.2300320218093717
said,beregond,1.2294513435802052
dont,frodo,1.2273655180032463
fell,like,1.2273116658036827
little,would,1.223828709451471
leave,said,1.2222125173500729
lord,men,1.2212571534048955
came,deep,1.219492161344382
kings,came,1.219492161344382
shall,days,1.2161538759191615
one,day,1.2151197195782597
came,north,1.2105220078398293
yet,hope,1.2093514641318954
frodo,much,1.2087498398358996
glad,said,1.1980462062193187
looked,old,1.1974236567593852
left,one,1.196383156996676
cotton,said,1.1954676621175402
time,saw,1.1944054651964713
back,light,1.1925790716016191
boromir,said,1.1913515536453083
said,friend,1.1913515536453083
could,take,1.1907717885359403
great,wind,1.1901733624480304
pippin,say,1.1877507001811711
battle,would,1.1854011460195668
master,frodo,1.1842967961113615
said,know,1.1837383695354369
said,use,1.183738369535435
yet,ever,1.183356255598948
morning,came,1.1829175464452284
said,comes,1.1795261182485195
gate,went,1.1776426044045536
thought,would,1.1765637827603914
great,battle,1.1758827048976332
end,merry,1.1733908421396357
eyes,see,1.1723661432768377
upon,king,1.1721841429073514
even,far,1.1712468591063931
gandalf,much,1.1691350220138244
frodo,go,1.1684718289496772
say,gandalf,1.168254524555378
cried,pippin,1.1659111211395388
well,come,1.1649117583909145
said,bit,1.1648793422841202
said,help,1.1648793422841184
said,least,1.1648793422841184
said,rest,1.1648793422841184
said,return,1.1648793422841184
red,came,1.1621589862784312
yet,set,1.160636179098864
